timestep,mean_reward_last_100,mean_episode_length_last_100
1791,3.0304966,1.9
3458,3.9677062,1.89
5195,3.3804703,2.1
6985,2.890209,2.24
8744,3.4600039,2.06
10453,3.6012537,1.94
12185,3.9412963,1.95
13951,3.871428,2.25
15617,4.19376,1.91
17450,2.8925962,2.14
19286,3.1248822,1.94
21105,3.047382,2.24
22938,3.417719,2.25
24674,3.6922038,1.95
26455,3.6147146,2.18
28254,3.2450364,2.23
30107,3.0064085,1.96
31951,3.0364294,2.02
33822,3.0263586,2.02
35691,3.1877465,2.13
37566,2.8214765,1.86
39442,2.9164033,2.0
41267,3.015709,1.77
43023,3.7150788,2.04
44716,4.1521864,2.07
46472,3.7072794,1.92
48202,3.8657486,2.18
49993,3.4693966,2.04
51854,3.1222527,1.86
53717,2.995142,1.7
55578,2.8888824,1.97
57453,3.1292768,1.88
59323,2.9819207,2.0
61194,2.9193444,2.01
63067,2.890727,2.06
64936,3.137712,2.04
66787,2.9735274,2.02
68631,2.8583112,1.98
70510,2.809295,2.33
72346,2.884821,1.66
74206,3.0317535,1.8
76089,2.9910638,2.08
77959,3.118976,2.12
79834,3.034195,2.22
81694,3.0409708,2.2
83555,2.9794662,1.87
85425,2.8227518,2.15
87296,3.0874424,1.75
89169,2.9759345,2.11
91032,2.6127367,2.18
92902,2.8760107,2.22
94771,3.063264,1.9
96645,3.0943844,2.24
98496,3.0805566,2.05
