episode,step,position,risk_level,action,reward,gestational_week
4,20,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,3.023571097139039,40
5,1,"(1, 0)",LOW,EXERCISE_PROGRAM,2.3659584610766853,13
5,2,"(1, 0)",LOW,EXERCISE_PROGRAM,4.174195780033126,14
5,3,"(2, 0)",LOW,EXERCISE_PROGRAM,4.035548990465555,16
5,4,"(2, 1)",LOW,EXERCISE_PROGRAM,3.2593509736255672,18
5,5,"(2, 1)",LOW,EXERCISE_PROGRAM,2.2583175441169874,19
5,6,"(2, 0)",LOW,EXERCISE_PROGRAM,2.631313624435109,21
5,7,"(3, 0)",MODERATE,EXERCISE_PROGRAM,3.6984553803418807,23
5,8,"(3, 0)",MODERATE,EXERCISE_PROGRAM,3.273333535810199,25
5,9,"(3, 0)",MODERATE,EXERCISE_PROGRAM,3.791989401635235,26
5,10,"(3, 1)",MODERATE,EXERCISE_PROGRAM,3.9933535655476833,28
5,11,"(3, 1)",MODERATE,EXERCISE_PROGRAM,4.1096199670755755,30
5,12,"(4, 1)",HIGH,EXERCISE_PROGRAM,1.98523063608104,32
5,13,"(5, 2)",HIGH,EXERCISE_PROGRAM,3.2546616137366504,33
5,14,"(6, 3)",HIGH,EXERCISE_PROGRAM,0.930336218739404,35
5,15,"(7, 4)",CRITICAL,EXERCISE_PROGRAM,2.559055998000652,37
5,16,"(7, 5)",CRITICAL,EXERCISE_PROGRAM,3.9320403588133903,39
5,17,"(7, 6)",CRITICAL,EXERCISE_PROGRAM,2.412996663877354,40
6,1,"(1, 0)",LOW,EXERCISE_PROGRAM,2.4374329107220882,13
6,2,"(1, 1)",LOW,EXERCISE_PROGRAM,4.7386292050971015,15
6,3,"(1, 0)",LOW,EXERCISE_PROGRAM,0.8030939514137114,17
6,4,"(2, 0)",LOW,EXERCISE_PROGRAM,2.7649072354397006,19
6,5,"(2, 1)",LOW,EXERCISE_PROGRAM,2.074144694385794,20
6,6,"(2, 0)",MODERATE,EXERCISE_PROGRAM,1.4593845673853205,22
6,7,"(2, 1)",MODERATE,EXERCISE_PROGRAM,4.728524206951415,24
6,8,"(2, 2)",MODERATE,EXERCISE_PROGRAM,5.2423793998367225,26
6,9,"(2, 3)",MODERATE,EXERCISE_PROGRAM,3.457460495357295,27
