timestep,mean_reward_last_100,mean_episode_length_last_100
1841,1.7842941,18.41
3648,2.562335,18.07
5448,2.463855,18.0
7263,2.608986,18.15
9102,2.5422804,18.39
10960,2.1822596,18.58
12787,2.9329114,18.27
14630,2.2223253,18.43
16477,2.4086468,18.47
18342,2.0619605,18.65
20163,2.0204408,18.21
22034,2.7019284,18.71
23872,3.2235944,18.38
25703,2.9235947,18.31
27541,3.0008576,18.38
29394,2.722601,18.53
31247,2.450132,18.53
33108,2.7631016,18.61
34919,2.5953543,18.11
36753,2.6375086,18.34
38610,2.76306,18.57
40433,2.6318722,18.23
42208,2.4002297,17.75
44000,2.67041,17.92
45708,3.0568976,17.08
47427,2.739016,17.19
49095,2.7605548,16.68
50780,3.2119012,16.85
52486,3.158121,17.06
54238,3.7643423,17.52
55980,3.5074122,17.42
57687,3.937708,17.07
59412,3.320297,17.25
61188,3.7175486,17.76
62963,3.1789184,17.75
64721,4.1398263,17.58
66517,3.5281274,17.96
68251,3.9555926,17.34
70010,3.892642,17.59
71720,3.8355277,17.1
73494,3.1985502,17.74
75254,3.4547207,17.6
76993,3.6127923,17.39
78738,3.8088956,17.45
80466,3.3214056,17.28
82132,3.6644037,16.66
83863,4.076136,17.31
85588,3.9059381,17.25
87356,3.5311277,17.68
89137,3.530706,17.81
90880,3.7433884,17.43
92648,3.9011343,17.68
94442,3.8271093,17.94
96194,4.1773787,17.52
97974,3.6490798,17.8
99668,3.7200975,16.94
101418,4.0120306,17.5
103174,3.9750538,17.56
104895,3.6742835,17.21
106621,3.9535186,17.26
108329,3.784545,17.08
110073,3.7407577,17.44
111810,3.720724,17.37
113566,4.132874,17.56
115297,4.3377976,17.31
117098,3.3455076,18.01
118832,3.767684,17.34
120575,3.7734933,17.43
122278,3.869409,17.03
124016,3.705,17.38
125808,4.0192323,17.92
127584,3.7642112,17.76
129306,4.2397,17.22
131082,4.0059767,17.76
132797,4.146691,17.15
134524,3.592001,17.27
136265,4.080551,17.41
137969,4.116051,17.04
139680,3.1925895,17.11
141381,2.8280506,17.01
143146,3.9000547,17.65
144892,3.808514,17.46
146631,3.665692,17.39
148441,4.133631,18.1
150174,3.6159613,17.33
152000,3.5666883,18.26
153749,3.4225504,17.49
155511,4.1991596,17.62
157230,3.9983945,17.19
158986,4.1359243,17.56
160741,3.567283,17.55
162553,3.03862,18.12
164313,3.7139738,17.6
166117,4.0477214,18.04
167840,4.212135,17.23
169625,3.91841,17.85
171363,3.9764426,17.38
173139,3.906861,17.76
174961,3.586194,18.22
176745,4.048704,17.84
178489,3.9093802,17.44
180266,3.5086725,17.77
182082,3.701087,18.16
183784,4.0701222,17.02
185512,3.8921676,17.28
187297,3.67144,17.85
189007,4.119828,17.1
190803,3.7207813,17.96
192592,4.171056,17.89
194333,3.9968116,17.41
196068,3.9746625,17.35
197810,3.6834006,17.42
199532,4.0574913,17.22
201278,4.4496365,17.46
203001,4.080969,17.23
204749,3.5981426,17.48
206513,3.830619,17.64
208249,3.9951448,17.36
210010,3.8358233,17.61
211693,3.6864593,16.83
213507,3.510305,18.14
215253,3.9532278,17.46
216904,3.9296808,16.51
218608,3.8852859,17.04
220359,3.8906457,17.51
222084,4.4026637,17.25
223830,3.920109,17.46
225501,4.379823,16.71
227170,4.1365614,16.69
228892,3.8422632,17.22
230584,4.1870165,16.92
232360,3.6007135,17.76
234159,4.1966424,17.99
235964,3.3709085,18.05
237708,3.440915,17.44
239469,3.36762,17.61
241221,3.884172,17.52
242987,3.8933327,17.66
244711,4.4842305,17.24
246415,3.775301,17.04
248121,4.1234756,17.06
249903,3.610123,17.82
251637,3.790494,17.34
253369,3.75558,17.32
255083,4.069171,17.14
256792,3.791343,17.09
258556,3.6763034,17.64
260214,4.01743,16.58
261978,4.0294404,17.64
263781,3.8390665,18.03
265553,4.0042157,17.72
267330,3.634456,17.77
269075,3.9977298,17.45
270756,3.9759753,16.81
272577,3.8228996,18.21
274302,3.2912617,17.25
276049,3.8851416,17.47
277757,3.2023296,17.08
279493,4.2887216,17.36
281184,4.233533,16.91
282902,4.418221,17.18
284584,4.09262,16.82
286307,3.5129566,17.23
288062,3.625283,17.55
289845,3.4247513,17.83
291588,3.6826415,17.43
293286,3.6890967,16.98
295076,4.017199,17.9
296842,3.4438071,17.66
298642,3.5442312,18.0
