timestep,mean_reward_last_100,mean_episode_length_last_100
1809,50.481960497534466,18.09
3605,52.36541271908578,17.96
5359,53.358548790770136,17.54
7072,55.49903414017461,17.13
8827,59.98621231530615,17.55
10501,60.51427369243798,16.74
12244,64.27318582557467,17.43
14006,67.16593165947094,17.62
15768,65.66043446584992,17.62
17520,65.39184552679163,17.52
19257,63.84279390509847,17.37
20982,64.52406982599449,17.25
22725,66.22785184768603,17.43
24432,64.12132992004564,17.07
26187,64.46600109809555,17.55
27964,65.52446766442978,17.77
29641,62.99754622051286,16.77
31338,64.62219487095878,16.97
33041,63.78288133141362,17.03
34740,63.506238892254196,16.99
36435,64.26383573908427,16.95
38150,63.873865717224426,17.15
39899,63.53917642650452,17.49
41608,62.43010814113758,17.09
43370,66.60872764719578,17.62
45112,64.40544406749487,17.42
46875,65.95670561556386,17.63
48576,62.72596585615451,17.01
50366,66.46556937370717,17.9
52060,64.21561865086244,16.94
53798,65.48966908870091,17.38
55496,63.40221890464734,16.98
57264,66.48945783331826,17.68
58984,63.09381142664653,17.2
60697,63.362756134878374,17.13
62406,63.329836798335684,17.09
64078,62.551501573547974,16.72
65782,64.5583833261916,17.04
67500,65.55068283833414,17.18
69188,63.391061152921985,16.88
70823,62.28534732129915,16.35
72562,63.6841672943176,17.39
74233,63.16716672535452,16.71
75905,62.15448125497437,16.72
77638,64.11570691305467,17.33
79367,65.4283116115766,17.29
81149,65.41035260415809,17.82
82902,67.54376805099874,17.53
84598,62.017236605764445,16.96
86298,62.847258509623934,17.0
88044,66.68228335284029,17.46
89862,68.38597738698634,18.18
91634,64.91107826199645,17.72
93385,66.63438000292047,17.51
95070,61.04131842765841,16.85
96796,64.15512339377783,17.26
98508,64.09866849988627,17.12
