timestep,mean_reward_last_100,mean_episode_length_last_100
1799,2.4204705,17.99
3544,2.5725079,17.45
5273,2.979342,17.29
6887,3.0382977,16.14
8616,3.2322292,17.29
10263,3.042829,16.47
11921,3.9376807,16.58
13595,3.715962,16.74
15126,2.9157522,15.31
16686,2.9250083,15.6
18127,2.5478208,14.41
19667,2.6955662,15.4
21097,3.1996503,14.3
22507,2.9543738,14.1
23860,2.4009354,13.53
25351,2.5134172,14.91
26884,2.3808262,15.33
28387,2.4933288,15.03
29919,2.5497124,15.32
31365,2.2994854,14.46
32886,2.3059428,15.21
34348,2.327177,14.62
35806,2.5865085,14.58
37201,2.5018334,13.95
38695,2.7783778,14.94
40175,2.8849044,14.8
41622,2.6502817,14.47
43106,2.3993099,14.84
44570,2.8104477,14.64
45974,2.3779664,14.04
47516,2.8482327,15.42
49010,2.4872007,14.94
50517,2.4688437,15.07
52016,2.9466317,14.99
53620,2.3212006,16.04
55095,2.5203974,14.75
56641,3.100415,15.46
58272,2.5080094,16.31
59891,2.6503506,16.19
61565,2.6810331,16.74
63183,3.3354144,16.18
64931,3.6324892,17.48
66653,3.3789225,17.22
68380,2.823726,17.27
70139,2.3024964,17.59
71841,3.5961108,17.02
73470,3.196511,16.29
75192,3.0948036,17.22
76845,3.1303759,16.53
78539,3.7168598,16.94
80238,3.5169685,16.99
81918,3.2720563,16.8
83632,2.7031705,17.14
85327,3.0832913,16.95
86986,3.4055338,16.59
88722,3.2986114,17.36
90498,3.1209135,17.76
92247,3.6131446,17.49
93988,3.1245534,17.41
95700,2.900783,17.12
97392,3.3512683,16.92
99090,2.881832,16.98
