timestep,mean_reward_last_100,mean_episode_length_last_100
1866,2.5329618,5.33
3730,3.0042887,4.79
5581,2.73492,4.76
7427,2.9276972,4.23
9263,3.0925732,4.77
11106,3.0075357,5.12
12964,2.916169,4.89
14833,3.117791,4.69
16681,3.122501,3.95
18544,2.710894,4.77
20406,2.9600713,4.39
22279,2.9949033,3.93
24129,3.0719063,4.84
25975,3.379729,4.6
27836,2.8700464,4.46
29699,3.5562801,4.28
31545,2.9918232,4.67
33400,2.988991,4.24
35268,2.923971,4.47
37123,2.870191,4.37
38979,3.0728717,4.81
40829,3.0677438,4.89
42690,3.0080047,4.86
44565,3.1186154,4.54
46441,2.8607035,4.21
48291,3.1355164,4.56
50168,3.060551,4.41
52008,2.9013038,4.5
53860,3.062473,4.35
55743,3.0562067,5.15
57616,2.9740055,5.08
59474,2.84639,4.62
61347,3.087826,4.43
63226,2.9703183,4.34
65097,3.0223331,4.63
66944,2.9766037,4.55
68810,3.0982711,4.19
70682,2.9388282,3.97
72558,2.8475373,4.56
74437,3.0349545,4.28
76281,3.0606866,4.9
78149,2.9004636,4.28
80005,3.1917233,4.33
81870,2.8536217,4.77
83729,3.2111611,4.4
85581,3.1340356,4.61
87436,3.160715,4.25
89318,3.14581,4.49
91181,2.945242,4.72
93039,3.0269167,4.95
94915,2.8501148,4.21
96788,3.1482098,4.12
98626,2.894446,4.81
