timestep,mean_reward_last_100,mean_episode_length_last_100
1842,1.5977185,18.42
3648,2.4613214,18.06
5462,1.9002419,18.14
7273,2.2589958,18.11
9119,2.4964814,18.46
10930,1.9366604,18.11
12757,2.613724,18.27
14630,2.2725952,18.73
16445,2.5847485,18.15
18284,2.3669293,18.39
20138,2.100039,18.54
22008,1.9624312,18.7
23874,2.5156167,18.66
25721,2.6654768,18.47
27558,2.9189417,18.37
29374,2.4928727,18.16
31237,2.650131,18.63
33102,2.8628304,18.65
34922,2.5229936,18.2
36760,3.1007159,18.38
38636,3.0809057,18.76
40505,3.088797,18.69
42361,2.8932934,18.56
44216,2.6009295,18.55
46101,3.0667264,18.85
47973,3.2528503,18.72
49838,3.0620399,18.65
51689,3.0726295,18.51
53556,3.4923413,18.67
55429,3.018729,18.73
57197,3.22733,17.68
58960,3.6198258,17.63
60729,3.711087,17.69
62452,3.1032856,17.23
64218,4.008271,17.66
65937,3.573163,17.19
67697,3.9227548,17.6
69443,3.5331693,17.46
71141,3.9283957,16.98
72821,3.611687,16.8
74523,3.5619195,17.02
76238,3.9184577,17.15
77918,3.530185,16.8
79708,3.3018448,17.9
81454,3.4722543,17.46
83235,3.448186,17.81
84942,3.6694546,17.07
86698,3.5213,17.56
88461,3.4472227,17.63
90187,3.4960203,17.26
91946,3.0089545,17.59
93659,3.475943,17.13
95441,3.4475613,17.82
97207,3.8186245,17.66
98950,3.3935375,17.43
100721,3.679513,17.71
102471,3.5959496,17.5
104171,3.4202223,17.0
105978,3.7872732,18.07
107711,3.4649563,17.33
109506,3.8140807,17.95
111277,4.008531,17.71
113041,3.9559312,17.64
114816,3.5586061,17.75
116554,3.4266279,17.38
118296,3.003961,17.42
120033,3.229069,17.37
121780,4.24996,17.47
123514,3.7470496,17.34
125231,3.9605072,17.17
126996,3.7661688,17.65
128693,3.784236,16.97
130447,3.7419662,17.54
132222,3.8074975,17.75
133874,4.0568004,16.52
135626,3.8220153,17.52
137329,4.1292195,17.03
139071,3.6155076,17.42
140793,3.870627,17.22
142485,3.6640882,16.92
144287,3.6488683,18.02
146014,4.0901256,17.27
147778,3.629874,17.64
149470,3.341602,16.92
151199,3.447576,17.29
152935,3.7618222,17.36
154672,3.3860385,17.37
156445,4.2797527,17.73
158238,3.2405577,17.93
160003,3.649764,17.65
161744,4.1584916,17.41
163476,3.8475025,17.32
165218,3.5585356,17.42
166939,3.4168332,17.21
168697,4.0492396,17.58
170481,3.617628,17.84
172212,3.6834292,17.31
173921,3.8935668,17.09
175621,3.907877,17.0
177326,3.3343759,17.05
179099,3.7713778,17.73
180755,3.2895668,16.56
182567,3.2576542,18.12
184377,3.5099125,18.1
186112,3.6435359,17.35
187757,3.8268576,16.45
189511,3.4336462,17.54
191220,3.6117597,17.09
192888,4.0509834,16.68
194634,3.9434054,17.46
196379,3.4806116,17.45
198074,3.7866333,16.95
199750,3.7409494,16.76
201458,3.7065067,17.08
203172,3.606878,17.14
204917,4.109181,17.45
206662,4.288598,17.45
208413,3.7282069,17.51
210145,3.7501624,17.32
211831,4.230481,16.86
213593,3.885266,17.62
215321,3.7785156,17.28
217017,3.7171142,16.96
218770,3.6844754,17.53
220464,4.217921,16.94
222112,3.3839757,16.48
223834,3.6928174,17.22
225542,3.364626,17.08
227283,3.5774255,17.41
229003,3.499043,17.2
230728,3.7720804,17.25
232491,3.9354758,17.63
234226,3.430383,17.35
235941,3.769622,17.15
237685,3.4640107,17.44
239421,3.5553756,17.36
241177,2.4561672,17.56
242847,3.7296567,16.7
244590,3.7368271,17.43
246253,3.6474242,16.63
248023,3.5966249,17.7
249776,3.8982153,17.53
251472,3.4668229,16.96
253199,3.8190398,17.27
254957,3.8623366,17.58
256645,3.5711393,16.88
258337,3.8689847,16.92
260071,3.4916818,17.34
261792,3.2341142,17.21
263520,3.3708239,17.28
265222,3.6299708,17.02
266969,3.8759315,17.47
268680,3.457986,17.11
270410,4.074812,17.3
272133,3.6681852,17.23
273907,3.3651092,17.74
275659,4.0768943,17.52
277398,3.9865124,17.39
279148,3.4618485,17.5
280935,3.845849,17.87
282675,4.0334105,17.4
284404,3.899414,17.29
286083,3.9648466,16.79
287801,3.4172091,17.18
289611,3.123353,18.1
291354,3.7543592,17.43
293119,3.7035098,17.65
294803,3.5929892,16.84
296500,3.352293,16.97
298209,3.3248055,17.09
299850,3.4818215,16.41
