timestep,mean_reward_last_100,mean_episode_length_last_100
1831,1.6521492,923.87
3681,1.9013714,934.86
5546,2.353879,975.21
7387,2.2472436,982.75
9225,2.3414633,1008.89
11027,2.1957853,1042.07
12816,2.6212137,1076.9
14623,2.8142767,1093.84
16456,2.68802,1127.27
18284,2.8549423,987.81
20116,2.8689468,944.39
21912,2.570402,940.46
23770,2.932058,996.87
25612,3.165402,1004.04
27458,3.0209503,1039.97
29271,2.5895016,1068.71
31077,2.8102741,1095.46
32867,3.1747777,1136.06
34687,3.1699383,1014.6
36496,2.7877471,903.96
38320,2.7565997,948.62
40149,2.8632803,991.27
41966,3.1789496,992.63
43826,2.8404624,1022.85
45685,2.7803915,1055.68
47497,3.1462917,1088.92
49327,2.802958,1109.49
51168,2.8477848,1105.28
53032,3.2514312,930.56
54893,3.0358312,951.47
56731,2.890197,958.4
58560,2.9295056,986.24
60403,2.8796105,1016.25
62273,3.1463213,1037.87
64123,3.1029148,1049.04
65984,2.872028,1065.54
67852,3.1564069,1077.66
69693,3.0384805,1118.31
71547,3.378854,997.2
73382,3.2325737,926.74
75210,3.3305042,942.88
77070,3.2329621,984.79
78852,3.329461,998.64
80675,3.1696742,1040.22
82489,3.1822946,1058.86
84292,3.618736,1095.54
86109,3.1655262,1143.34
87934,3.5004785,1014.63
89779,3.3123975,945.62
91626,3.480568,964.06
93444,3.103959,972.33
95289,3.2195578,999.55
97117,3.2852805,1024.55
98942,3.584589,1058.42
