timestep,mean_reward_last_100,mean_episode_length_last_100
1838,51.95445171458879,18.38
3650,55.99483373055163,18.12
5500,55.80803622236284,18.5
7342,56.359057272355486,18.42
9190,56.30975371359095,18.48
11054,54.00767291644561,18.64
12900,54.996296679729056,18.46
14767,53.923425532993114,18.67
16622,55.297169616381446,18.55
18465,55.149784572164364,18.43
20332,56.61396321572079,18.67
22171,55.116783839967226,18.39
24023,55.04260288415237,18.52
25643,45.42220870629242,16.2
27281,43.146115724682765,16.38
28904,42.98683271784188,16.23
30554,44.92707999409066,16.5
32192,45.264196618470194,16.38
33839,42.943281156972496,16.47
35476,46.51572635244157,16.37
37129,46.30886753230694,16.53
38761,45.18806255342275,16.32
40398,44.42624054136056,16.37
42059,45.9848764304942,16.61
43699,45.43768459224497,16.4
45345,45.163847599104194,16.46
46997,45.99563035736806,16.52
48648,45.42773809984552,16.51
50324,46.737047267922314,16.76
51962,45.05081613917016,16.38
53562,43.62801224912587,16.0
55218,45.907123017627285,16.56
56868,45.11891226643218,16.5
58559,46.51203434381522,16.91
60201,45.240976856075584,16.42
61864,46.13058204498849,16.63
63542,46.10549857789881,16.78
65175,44.65903496141573,16.33
66827,44.90303694419131,16.52
68448,44.560332832710465,16.21
70128,46.712975460942474,16.8
71748,44.30307479924005,16.2
73414,45.936625630934465,16.66
75061,44.51727220435408,16.47
76717,45.023240349349514,16.56
78373,44.48459295082934,16.56
80042,46.569512043300826,16.69
81695,45.25728706262035,16.53
83334,44.89119590834769,16.39
84989,46.2624191807157,16.55
86628,43.16306938919898,16.39
88294,47.128976187456566,16.66
89978,47.70118852230411,16.84
91594,45.54881154000636,16.16
93227,44.020254447478464,16.33
94878,47.238107857406256,16.51
96502,45.12261439123338,16.24
98166,45.270284396903065,16.64
99832,45.39134411552671,16.66
101463,44.57553627036315,16.31
103105,44.693274846685036,16.42
104728,44.80332625620904,16.23
106404,46.887177997196815,16.76
108073,45.369518400825754,16.69
109704,45.47257366626946,16.31
111379,45.81618607988747,16.75
112997,45.510516241996065,16.18
114637,45.42903466490386,16.4
116294,44.870087181123516,16.57
117936,44.73944119156452,16.42
119593,45.87886087201671,16.57
121237,45.15126395969293,16.44
122866,45.035302571723875,16.29
124526,44.75732412626544,16.6
126185,46.02162748752303,16.59
127832,45.37037082711839,16.47
129493,45.93022670768388,16.61
131134,45.825287217054246,16.41
132780,45.51375473739095,16.46
134387,44.11932918743983,16.07
136043,44.27219377751959,16.56
137670,44.36747203261741,16.27
139316,45.983392059412296,16.46
140974,44.8829564461952,16.58
142620,45.68363098930253,16.46
144266,45.61518850962962,16.46
145958,47.35032418530386,16.92
147609,45.243834868595876,16.51
149233,44.446127335202256,16.24
150906,45.87862326057474,16.73
152552,44.86686931248035,16.46
154202,45.72928100958812,16.5
155841,43.549970225359296,16.39
157479,44.1112945057073,16.38
159161,45.33192391186036,16.82
160798,45.21043181750309,16.37
162439,44.642412632024,16.41
164107,46.749565268511034,16.68
165743,45.03549133453208,16.36
167368,44.16318861136838,16.25
169042,45.61820909242702,16.74
170692,44.64885072508583,16.5
172338,44.24909821820776,16.46
173939,43.56688171078363,16.01
175597,45.88055180648542,16.58
177229,44.701272022544146,16.32
178884,45.308231069925824,16.55
180525,44.83314467652314,16.41
182159,44.445385941555536,16.34
183833,46.671416620370934,16.74
185457,44.3126418013672,16.24
187074,44.684043511154066,16.17
188750,46.07716154366883,16.76
190414,44.94930009044252,16.64
192069,46.351006255718694,16.55
193719,45.01560090711469,16.5
195400,45.469580946855984,16.81
197042,45.51721088649123,16.42
198658,44.355190370652736,16.16
