timestep,mean_reward_last_100,mean_episode_length_last_100
1823,2.2528167,460.71
3663,2.011123,495.95
5446,2.714143,523.14
7236,2.5947084,547.09
8913,2.9171934,467.31
10621,3.0447137,506.32
12383,3.4571357,556.53
14100,3.5275064,491.05
15794,4.012543,482.4
17487,4.2158346,564.73
19228,3.721007,484.48
20936,3.7620144,489.6
22645,3.4486053,545.11
24393,3.8301413,508.84
26158,4.1255074,472.01
27887,3.8270667,526.51
29617,3.6730268,542.45
31296,3.8779163,447.11
32993,3.8816652,533.42
34701,3.8679228,536.87
36466,3.585119,468.37
38274,3.8567047,499.52
39961,4.1835413,567.91
41689,3.813485,456.57
43454,4.0543184,502.02
45168,3.8789694,566.83
46990,3.67876,524.06
48666,4.3698316,459.6
50423,4.015205,543.45
52125,4.4635878,549.63
53861,4.0933022,477.55
55597,4.1574516,520.5
57364,3.7240958,582.85
59105,4.085174,467.08
60882,3.771124,499.0
62619,3.8579943,544.92
64358,4.393683,513.29
66081,4.17837,467.9
67766,4.1101704,539.47
69482,4.133769,522.27
71262,3.7664435,481.3
73007,3.9454322,523.02
74689,4.5275717,563.3
76460,4.239041,471.35
78275,3.9980097,496.98
79979,4.1325164,555.38
81708,3.957057,494.4
83412,3.98795,489.57
85120,3.9176285,558.4
86842,3.8648582,497.35
88597,3.9943502,473.22
90306,4.0694847,528.81
92045,3.5106783,538.33
93822,3.5975373,467.11
95508,4.0845695,522.33
97232,3.9012823,569.86
98961,3.667038,449.97
